model,k,n,eps,keep_frac,mem_kb,mem_frac,geom_fid,val_acc,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,task,seed,margin_id,margin_ood,nmi,hungarian_acc,auroc
loghd,3,4,0,,156.7,0.1337,0.9932579613387403,0.35333332419395447,0.34200000762939453,0.2626666724681854,0.19499999284744263,0.14666666090488434,0.20144444207350412,shift,1,-0.007409894373267889,-0.013840683735907078,,,
feataxis,3,4,0,0.1337,156.7,0.1337,0.9525468540544262,0.9973333477973938,0.9936666488647461,0.9326666593551636,0.6813333034515381,0.45533332228660583,0.6897777616977692,shift,1,,,,,
loghd,3,5,1,,195.9,0.1672,0.9932579613387403,0.46533334255218506,0.4663333296775818,0.33666667342185974,0.19866666197776794,0.156333327293396,0.2305555542310079,shift,1,-0.004660206846892834,-0.020562329950431984,,,
feataxis,3,5,1,0.1672,195.9,0.1672,0.961668913131935,0.9973333477973938,0.9953333139419556,0.9316666722297668,0.6850000023841858,0.45366665720939636,0.690111110607783,shift,1,,,,,
loghd,3,6,2,,235.1,0.2006,0.9932579613387403,0.4893333315849304,0.5043333172798157,0.34333333373069763,0.21033333241939545,0.15533332526683807,0.2363333304723104,shift,1,-0.002011637669056654,-0.02265560595939557,,,
feataxis,3,6,2,0.2006,235.1,0.2006,0.9679279346722911,0.996666669845581,0.9946666359901428,0.9369999766349792,0.7053333520889282,0.4713333249092102,0.7045555512110392,shift,1,,,,,
baseline,,,,1.0,1171.9,1.0,0.9933941553539579,0.9973333477973938,0.9979999661445618,0.9523333311080933,0.7300000190734863,0.47866666316986084,0.7203333377838135,shift,2,,,,,
loghd,2,5,0,,195.9,0.1672,0.9933941553539579,0.4560000002384186,0.4373333156108856,0.33666667342185974,0.22333332896232605,0.15600000321865082,0.23866666853427887,shift,2,-0.006575988605618477,-0.015805441265304882,,,
feataxis,2,5,0,0.1672,195.9,0.1672,0.9615835024936777,0.9959999918937683,0.9959999918937683,0.9480000138282776,0.7269999980926514,0.4883333146572113,0.7211111088593801,shift,2,,,,,
loghd,2,6,1,,235.1,0.2006,0.9933941553539579,0.42800000309944153,0.4426666498184204,0.3213333189487457,0.21766667068004608,0.16433332860469818,0.23444443941116333,shift,2,-0.008073498494923115,-0.019025605792800587,,,
feataxis,2,6,1,0.2006,235.1,0.2006,0.9672898080234749,0.9973333477973938,0.9956666827201843,0.950333297252655,0.7306666374206543,0.4880000054836273,0.7229999800523123,shift,2,,,,,
loghd,2,7,2,,274.3,0.234,0.9933941553539579,0.6333333253860474,0.6443333029747009,0.4113333225250244,0.21466666460037231,0.13599999248981476,0.2539999932050705,shift,2,0.011691121384501457,-0.02918371558189392,,,
feataxis,2,7,2,0.234,274.2,0.234,0.9721351778692382,0.9953333139419556,0.9956666827201843,0.9493333101272583,0.7306666374206543,0.4819999933242798,0.7206666469573975,shift,2,,,,,
loghd,3,4,0,,156.7,0.1337,0.9933941553539579,0.3346666693687439,0.3293333351612091,0.18400000035762787,0.10799999535083771,0.07466666400432587,0.12222221990426381,shift,2,-0.009761459194123745,-0.03404379263520241,,,
feataxis,3,4,0,0.1337,156.7,0.1337,0.9538199437586294,0.9959999918937683,0.9946666359901428,0.949999988079071,0.722000002861023,0.49533331394195557,0.7224444349606832,shift,2,,,,,
loghd,3,5,1,,195.9,0.1672,0.9933941553539579,0.39533331990242004,0.39800000190734863,0.26100000739097595,0.16200000047683716,0.11433333158493042,0.17911111315091452,shift,2,-0.0085630863904953,-0.023691176747282345,,,
feataxis,3,5,1,0.1672,195.9,0.1672,0.9615835024936777,0.9959999918937683,0.9959999918937683,0.9480000138282776,0.7269999980926514,0.4883333146572113,0.7211111088593801,shift,2,,,,,
loghd,3,6,2,,235.1,0.2006,0.9933941553539579,0.48133331537246704,0.47333332896232605,0.3369999825954437,0.22433333098888397,0.1576666682958603,0.23966666062672934,shift,2,-0.005335226189345121,-0.023588233937819798,,,
feataxis,3,6,2,0.2006,235.1,0.2006,0.9672898080234749,0.9973333477973938,0.9956666827201843,0.950333297252655,0.7306666374206543,0.4880000054836273,0.7229999800523123,shift,2,,,,,
baseline,,,,1.0,546.9,1.0,0.9932729785708554,1.0,0.9692857265472412,,,,,novel,0,,,0.9693487237872219,0.9866666666666667,0.9841276190476189
loghd,2,4,0,,156.5,0.2861,0.9932729785708554,0.4042856991291046,0.44999998807907104,,,,,novel,0,,,0.9693487237872219,0.9866666666666667,0.5934285714285714
feataxis,2,4,0,0.2861,156.5,0.2861,0.9779081257731338,0.9857142567634583,0.9685714244842529,,,,,novel,0,,,0.9691468087024658,0.9873333333333333,0.9831100000000002
loghd,2,5,1,,195.6,0.3576,0.9932729785708554,0.46857142448425293,0.48571428656578064,,,,,novel,0,,,0.9693487237872219,0.9866666666666667,0.6058666666666667
feataxis,2,5,1,0.3576,195.6,0.3576,0.9820966916203838,0.9885714054107666,0.9685714244842529,,,,,novel,0,,,0.969148724998416,0.9873333333333333,0.9837771428571429
loghd,2,6,2,,234.7,0.4292,0.9932729785708554,0.5971428751945496,0.572857141494751,,,,,novel,0,,,0.9693487237872219,0.9866666666666667,0.6326071428571428
feataxis,2,6,2,0.4292,234.7,0.4292,0.9849812638595715,0.9871428608894348,0.970714271068573,,,,,novel,0,,,0.9679651056360338,0.9866666666666667,0.9836990476190476
loghd,3,3,0,,117.4,0.2146,0.9932729785708554,0.32999998331069946,0.3285714387893677,,,,,novel,0,,,0.9693487237872219,0.9866666666666667,0.6929380952380952
feataxis,3,3,0,0.2146,117.4,0.2146,0.9701664457993062,0.9842857122421265,0.9685714244842529,,,,,novel,0,,,0.9656849393371262,0.986,0.982109761904762
loghd,3,4,1,,156.5,0.2861,0.9932729785708554,0.47428572177886963,0.4814285635948181,,,,,novel,0,,,0.9693487237872219,0.9866666666666667,0.6419823809523809
feataxis,3,4,1,0.2861,156.5,0.2861,0.9779081257731338,0.9857142567634583,0.9685714244842529,,,,,novel,0,,,0.9691468087024658,0.9873333333333333,0.9831100000000002
loghd,3,5,2,,195.6,0.3576,0.9932729785708554,0.5371428728103638,0.5271428227424622,,,,,novel,0,,,0.9693487237872219,0.9866666666666667,0.5737495238095238
feataxis,3,5,2,0.3576,195.6,0.3576,0.9820966916203838,0.9885714054107666,0.9685714244842529,,,,,novel,0,,,0.969148724998416,0.9873333333333333,0.9837771428571429
baseline,,,,1.0,546.9,1.0,0.9934170066920074,1.0,0.9764285683631897,,,,,novel,1,,,0.9739941100215661,0.9886666666666667,0.9814452380952381
loghd,2,4,0,,156.5,0.2861,0.9934170066920074,0.5257142782211304,0.5321428775787354,,,,,novel,1,,,0.9739941100215661,0.9886666666666667,0.5709219047619047
feataxis,2,4,0,0.2861,156.5,0.2861,0.9776989107705912,0.9885714054107666,0.9742857217788696,,,,,novel,1,,,0.9709320137521774,0.9873333333333333,0.9810790476190475
loghd,2,5,1,,195.6,0.3576,0.9934170066920074,0.5714285373687744,0.6135714054107666,,,,,novel,1,,,0.9739941100215661,0.9886666666666667,0.6337461904761905
feataxis,2,5,1,0.3576,195.6,0.3576,0.981772435407772,0.9900000095367432,0.9728571176528931,,,,,novel,1,,,0.9700290342150958,0.9866666666666667,0.9809195238095237
loghd,2,6,2,,234.7,0.4292,0.9934170066920074,0.654285728931427,0.6564285755157471,,,,,novel,1,,,0.9739941100215661,0.9886666666666667,0.5973904761904762
feataxis,2,6,2,0.4292,234.7,0.4292,0.9848615305216525,0.9942857027053833,0.970714271068573,,,,,novel,1,,,0.9713580176650177,0.9873333333333333,0.9811190476190477
loghd,3,3,0,,117.4,0.2146,0.9934170066920074,0.46285712718963623,0.45428571105003357,,,,,novel,1,,,0.9739941100215661,0.9886666666666667,0.5281261904761905
feataxis,3,3,0,0.2146,117.4,0.2146,0.9710625670693686,0.991428554058075,0.9742857217788696,,,,,novel,1,,,0.9704241516556971,0.9866666666666667,0.980507619047619
loghd,3,4,1,,156.5,0.2861,0.9934170066920074,0.522857129573822,0.5171428322792053,,,,,novel,1,,,0.9739941100215661,0.9886666666666667,0.544112380952381
