seed,tag,bits,p,mem_frac,id_acc,ood_acc
0,hybrid_k2_n5,2,0.5,0.2088,0.0833333358168602,0.0833333358168602
0,hybrid_k2_n5,4,0.0,0.2088,0.7191666960716248,0.25333333512147266
0,hybrid_k2_n5,4,0.05,0.2088,0.5475000143051147,0.18111111968755722
0,hybrid_k2_n5,4,0.1,0.2088,0.2916666865348816,0.13805555552244186
0,hybrid_k2_n5,4,0.2,0.2088,0.03916666656732559,0.04055555661519369
0,hybrid_k2_n5,4,0.3,0.2088,0.09750000387430191,0.09472222129503886
0,hybrid_k2_n5,4,0.5,0.2088,0.08166667073965073,0.08305555830399196
0,hybrid_k2_n5,8,0.0,0.2088,0.7191666960716248,0.25333333512147266
0,hybrid_k2_n5,8,0.05,0.2088,0.41833335161209106,0.2166666736205419
0,hybrid_k2_n5,8,0.1,0.2088,0.2541666626930237,0.1677777816851934
0,hybrid_k2_n5,8,0.2,0.2088,0.16750000417232513,0.0794444444278876
0,hybrid_k2_n5,8,0.3,0.2088,0.13166667520999908,0.09055555860201518
0,hybrid_k2_n5,8,0.5,0.2088,0.07500000298023224,0.0827777807911237
1,full,2,0.0,1.0,0.9983333349227905,0.6705555816491445
1,full,2,0.05,1.0,0.9941666722297668,0.5736111303170522
1,full,2,0.1,1.0,0.9950000047683716,0.5791666706403097
1,full,2,0.2,1.0,0.9908333420753479,0.5005555748939514
1,full,2,0.3,1.0,0.9791666865348816,0.4694444537162781
1,full,2,0.5,1.0,0.03999999910593033,0.06833333522081375
1,full,4,0.0,1.0,0.9983333349227905,0.6705555816491445
1,full,4,0.05,1.0,0.996666669845581,0.6600000262260437
1,full,4,0.1,1.0,0.996666669845581,0.6241666773955027
1,full,4,0.2,1.0,0.9925000071525574,0.5902777910232544
1,full,4,0.3,1.0,0.9908333420753479,0.6211111346880595
1,full,4,0.5,1.0,0.1158333346247673,0.09777778138717015
1,full,8,0.0,1.0,0.9983333349227905,0.6705555816491445
1,full,8,0.05,1.0,0.9983333349227905,0.6436111330986023
1,full,8,0.1,1.0,0.996666669845581,0.6325000127156576
1,full,8,0.2,1.0,0.9975000023841858,0.6572222212950388
1,full,8,0.3,1.0,0.9983333349227905,0.6422222356001536
1,full,8,0.5,1.0,0.06083333492279053,0.08833333601554234
1,loghd_k2_n5,2,0.0,0.4172,0.7741667032241821,0.5366666913032532
1,loghd_k2_n5,2,0.05,0.4172,0.15583333373069763,0.14638889332612356
1,loghd_k2_n5,2,0.1,0.4172,0.15416666865348816,0.1425000031789144
1,loghd_k2_n5,2,0.2,0.4172,0.1041666716337204,0.08916666855414708
1,loghd_k2_n5,2,0.3,0.4172,0.0833333358168602,0.0833333358168602
1,loghd_k2_n5,2,0.5,0.4172,0.0833333358168602,0.0833333358168602
1,loghd_k2_n5,4,0.0,0.4172,0.7741667032241821,0.5366666913032532
1,loghd_k2_n5,4,0.05,0.4172,0.6341666579246521,0.3733333498239517
1,loghd_k2_n5,4,0.1,0.4172,0.49000000953674316,0.3747222224871318
1,loghd_k2_n5,4,0.2,0.4172,0.09750000387430191,0.08638889094193776
1,loghd_k2_n5,4,0.3,0.4172,0.11250000447034836,0.09305555870135625
1,loghd_k2_n5,4,0.5,0.4172,0.09083333611488342,0.08833333353201549
1,loghd_k2_n5,8,0.0,0.4172,0.7741667032241821,0.5366666913032532
1,loghd_k2_n5,8,0.05,0.4172,0.48750001192092896,0.2686111181974411
1,loghd_k2_n5,8,0.1,0.4172,0.24666666984558105,0.15222222357988358
1,loghd_k2_n5,8,0.2,0.4172,0.12083333730697632,0.10722222675879796
1,loghd_k2_n5,8,0.3,0.4172,0.0833333358168602,0.0833333358168602
1,loghd_k2_n5,8,0.5,0.4172,0.08500000089406967,0.08416666835546494
1,feataxis_k2_n5,2,0.0,0.4172,0.9991666674613953,0.6458333432674408
1,feataxis_k2_n5,2,0.05,0.4172,0.9958333373069763,0.5627778073151907
1,feataxis_k2_n5,2,0.1,0.4172,0.9933333396911621,0.5627778073151907
1,feataxis_k2_n5,2,0.2,0.4172,0.9866666793823242,0.5611111323038737
1,feataxis_k2_n5,2,0.3,0.4172,0.934166669845581,0.43472223977247876
1,feataxis_k2_n5,2,0.5,0.4172,0.08250000327825546,0.07277777791023254
1,feataxis_k2_n5,4,0.0,0.4172,0.9991666674613953,0.6458333432674408
1,feataxis_k2_n5,4,0.05,0.4172,0.9983333349227905,0.6077777942021688
1,feataxis_k2_n5,4,0.1,0.4172,0.9958333373069763,0.586388905843099
1,feataxis_k2_n5,4,0.2,0.4172,0.9950000047683716,0.5933333436648051
1,feataxis_k2_n5,4,0.3,0.4172,0.9858333468437195,0.6463889082272848
1,feataxis_k2_n5,4,0.5,0.4172,0.11749999970197678,0.10138889153798421
1,feataxis_k2_n5,8,0.0,0.4172,0.9991666674613953,0.6458333432674408
1,feataxis_k2_n5,8,0.05,0.4172,0.9958333373069763,0.6111111243565878
1,feataxis_k2_n5,8,0.1,0.4172,0.9958333373069763,0.6138889094193777
1,feataxis_k2_n5,8,0.2,0.4172,0.996666669845581,0.5869444608688354
1,feataxis_k2_n5,8,0.3,0.4172,0.9925000071525574,0.5652777949968973
1,feataxis_k2_n5,8,0.5,0.4172,0.09916666895151138,0.08750000347693761
1,loghd_k3_n4,2,0.0,0.3337,0.6758333444595337,0.363055557012558
1,loghd_k3_n4,2,0.05,0.3337,0.0833333358168602,0.0833333358168602
