task,encoding,seed,threshold,iteration,param,from_value,to_value,accepted,val_acc,val_drop,mem_kb_before,mem_kb_after
shift,id,0,0.01,5,dim,10000,4096,True,0.9893333315849304,0.006666660308837891,263.671875,108.0
shift,id,0,0.01,6,dim,4096,256,False,0.4753333330154419,0.5206666588783264,108.0,6.75
shift,id,0,0.01,7,dim,4096,1024,False,0.9546666741371155,0.04133331775665283,108.0,27.0
shift,id,0,0.01,8,dim,4096,2048,False,0.9819999933242798,0.013999998569488525,108.0,54.0
shift,id,0,0.01,9,quant_bits,4,2,False,0.9786666631698608,0.01733332872390747,108.0,78.0
shift,id,0,0.01,10,quant_bits,4,3,True,0.9879999756813049,0.008000016212463379,108.0,93.0
shift,id,0,0.01,11,quant_bits,3,2,False,0.9786666631698608,0.01733332872390747,93.0,78.0
shift,id,0,0.01,12,levels,32,8,False,0.9773333072662354,0.01866668462753296,93.0,81.0
shift,id,0,0.01,13,levels,32,16,False,0.9853333234786987,0.01066666841506958,93.0,85.0
shift,id,0,0.05,1,dim,10000,512,False,0.8659999966621399,0.12999999523162842,1914.0625,98.0
shift,id,0,0.05,2,dim,10000,2048,True,0.984666645526886,0.011333346366882324,1914.0625,392.0
shift,id,0,0.05,3,dim,2048,256,False,0.6733333468437195,0.32266664505004883,392.0,49.0
shift,id,0,0.05,4,dim,2048,512,False,0.8659999966621399,0.12999999523162842,392.0,98.0
shift,id,0,0.05,5,levels,1024,32,True,0.9839999675750732,0.012000024318695068,392.0,144.0
shift,id,0,0.05,6,quant_bits,16,4,True,0.9819999933242798,0.013999998569488525,144.0,54.0
shift,id,0,0.05,7,dim,2048,1024,True,0.9546666741371155,0.04133331775665283,54.0,27.0
shift,id,0,0.05,8,dim,1024,128,False,0.06933332979679108,0.9266666620969772,27.0,3.375
shift,id,0,0.05,9,dim,1024,256,False,0.4753333330154419,0.5206666588783264,27.0,6.75
shift,id,0,0.05,10,dim,1024,512,False,0.8560000061988831,0.13999998569488525,27.0,13.5
shift,id,0,0.05,11,quant_bits,4,2,False,0.8813333511352539,0.1146666407585144,27.0,19.5
shift,id,0,0.05,12,quant_bits,4,3,False,0.9333333373069763,0.06266665458679199,27.0,23.25
shift,id,0,0.05,13,levels,32,8,False,0.9440000057220459,0.05199998617172241,27.0,24.0
shift,id,0,0.05,14,levels,32,16,True,0.9519999623298645,0.04400002956390381,27.0,25.0
shift,id,0,0.05,15,levels,16,4,False,0.9113333225250244,0.0846666693687439,25.0,23.5
shift,id,0,0.05,16,levels,16,8,False,0.9440000057220459,0.05199998617172241,25.0,24.0
shift,id,1,0.005,1,dim,10000,512,False,0.8913333415985107,0.10399997234344482,1914.0625,98.0
shift,id,1,0.005,2,dim,10000,2048,False,0.9819999933242798,0.013333320617675781,1914.0625,392.0
shift,id,1,0.005,3,levels,1024,32,True,0.9959999918937683,-0.0006666779518127441,1914.0625,703.125
shift,id,1,0.005,4,quant_bits,16,4,True,0.9953333139419556,0.0,703.125,263.671875
shift,id,1,0.005,5,dim,10000,4096,True,0.9906666278839111,0.004666686058044434,263.671875,108.0
shift,id,1,0.005,6,dim,4096,256,False,0.6146666407585144,0.38066667318344116,108.0,6.75
shift,id,1,0.005,7,dim,4096,1024,False,0.9506666660308838,0.04466664791107178,108.0,27.0
shift,id,1,0.005,8,dim,4096,2048,False,0.9839999675750732,0.011333346366882324,108.0,54.0
shift,id,1,0.005,9,quant_bits,4,2,False,0.9860000014305115,0.009333312511444092,108.0,78.0
shift,id,1,0.005,10,quant_bits,4,3,True,0.9926666617393494,0.002666652202606201,108.0,93.0
shift,id,1,0.005,11,quant_bits,3,2,False,0.9860000014305115,0.009333312511444092,93.0,78.0
shift,id,1,0.005,12,levels,32,8,False,0.981333315372467,0.013999998569488525,93.0,81.0
shift,id,1,0.005,13,levels,32,16,True,0.9933333396911621,0.001999974250793457,93.0,85.0
shift,id,1,0.005,14,levels,16,4,False,0.9179999828338623,0.07733333110809326,85.0,79.0
shift,id,1,0.005,15,levels,16,8,False,0.981333315372467,0.013999998569488525,85.0,81.0
shift,id,1,0.01,1,dim,10000,512,False,0.8913333415985107,0.10399997234344482,1914.0625,98.0
shift,id,1,0.01,2,dim,10000,2048,False,0.9819999933242798,0.013333320617675781,1914.0625,392.0
shift,id,1,0.01,3,levels,1024,32,True,0.9959999918937683,-0.0006666779518127441,1914.0625,703.125
shift,id,1,0.01,4,quant_bits,16,4,True,0.9953333139419556,0.0,703.125,263.671875
shift,id,1,0.01,5,dim,10000,4096,True,0.9906666278839111,0.004666686058044434,263.671875,108.0
shift,id,1,0.01,6,dim,4096,256,False,0.6146666407585144,0.38066667318344116,108.0,6.75
shift,id,1,0.01,7,dim,4096,1024,False,0.9506666660308838,0.04466664791107178,108.0,27.0
shift,id,1,0.01,8,dim,4096,2048,False,0.9839999675750732,0.011333346366882324,108.0,54.0
shift,id,1,0.01,9,quant_bits,4,2,True,0.9860000014305115,0.009333312511444092,108.0,78.0
shift,id,1,0.01,10,levels,32,8,False,0.9726666808128357,0.022666633129119873,78.0,66.0
shift,id,1,0.01,11,levels,32,16,False,0.9779999852180481,0.01733332872390747,78.0,70.0
shift,id,1,0.05,1,dim,10000,512,False,0.8913333415985107,0.10399997234344482,1914.0625,98.0
shift,id,1,0.05,2,dim,10000,2048,True,0.9819999933242798,0.013333320617675781,1914.0625,392.0
shift,id,1,0.05,3,dim,2048,256,False,0.6759999990463257,0.3193333148956299,392.0,49.0
shift,id,1,0.05,4,dim,2048,512,False,0.8913333415985107,0.10399997234344482,392.0,98.0
shift,id,1,0.05,5,levels,1024,32,True,0.9746666550636292,0.020666658878326416,392.0,144.0
shift,id,1,0.05,6,quant_bits,16,4,True,0.9839999675750732,0.011333346366882324,144.0,54.0
shift,id,1,0.05,7,dim,2048,1024,True,0.9506666660308838,0.04466664791107178,54.0,27.0
shift,id,1,0.05,8,dim,1024,128,False,0.06399999558925629,0.9313333183526993,27.0,3.375
shift,id,1,0.05,9,dim,1024,256,False,0.6146666407585144,0.38066667318344116,27.0,6.75
shift,id,1,0.05,10,dim,1024,512,False,0.8779999613761902,0.11733335256576538,27.0,13.5
shift,id,1,0.05,11,quant_bits,4,2,False,0.875333309173584,0.12000000476837158,27.0,19.5
shift,id,1,0.05,12,quant_bits,4,3,False,0.9426666498184204,0.052666664123535156,27.0,23.25
shift,id,1,0.05,13,levels,32,8,False,0.9366666674613953,0.0586666464805603,27.0,24.0
shift,id,1,0.05,14,levels,32,16,True,0.9546666741371155,0.04066663980484009,27.0,25.0
shift,id,1,0.05,15,levels,16,4,False,0.9073333144187927,0.08799999952316284,25.0,23.5
