task,seed,stage,knob,value,mem_kb,compression_vs_fp,geom_fid,val_acc,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,nmi,hungarian_acc,auroc
shift,0,P,keep_frac,0.5,1835.9,2.0,0.9866695870763051,0.9953333139419556,0.9950000047683716,0.9446666836738586,0.7106666564941406,0.4129999876022339,0.6894444425900778,,,
shift,0,P,keep_frac,0.7,2570.3,1.43,0.9903336961968375,0.9953333139419556,0.9953333139419556,0.9430000185966492,0.7109999656677246,0.4129999876022339,0.6889999906222025,,,
shift,0,P,keep_frac,1.0,3671.9,1.0,0.9930068909724743,0.996666669845581,0.9946666359901428,0.9449999928474426,0.718666672706604,0.4286666512489319,0.6974444389343262,,,
shift,0,Q,bits,2,229.5,16.0,0.9921473913335521,0.9973333477973938,0.9946666359901428,0.9433333277702332,0.7126666307449341,0.42366665601730347,0.6932222048441569,,,
shift,0,Q,bits,3,344.2,10.67,0.9929570698616412,0.996666669845581,0.9950000047683716,0.9456666707992554,0.7239999771118164,0.43033331632614136,0.699999988079071,,,
shift,0,Q,bits,4,459.0,8.0,0.9930356806784872,0.9959999918937683,0.9950000047683716,0.9463333487510681,0.7193333506584167,0.4313333332538605,0.6990000108877817,,,
shift,0,Q,bits,6,688.5,5.33,0.9929950556884108,0.9959999918937683,0.9950000047683716,0.9449999928474426,0.7203333377838135,0.429666668176651,0.698333332935969,,,
shift,0,Q,bits,8,918.0,4.0,0.9930134284989383,0.9959999918937683,0.9946666359901428,0.9456666707992554,0.718999981880188,0.4286666512489319,0.6977777679761251,,,
shift,1,none,baseline,fp32,3671.9,1.0,0.9932579613387403,0.996666669845581,0.9959999918937683,0.9566666483879089,0.7553333044052124,0.5336666703224182,0.7485555410385132,,,
shift,1,D,rank,8,1486.4,2.47,0.36095595631009264,0.3240000009536743,0.3149999976158142,0.22100000083446503,0.14266666769981384,0.09799999743700027,0.15388888865709305,,,
shift,1,D,rank,16,1800.9,2.04,0.5020058762967835,0.6073333024978638,0.5999999642372131,0.421999990940094,0.22233332693576813,0.1509999930858612,0.2651111036539078,,,
shift,1,D,rank,24,2115.4,1.74,0.6315375449840014,0.8106666803359985,0.8100000023841858,0.5586666464805603,0.3009999990463257,0.2029999941587448,0.3542222132285436,,,
shift,1,D,rank,32,2429.9,1.51,0.7354631967573287,0.9133332967758179,0.90666663646698,0.7193333506584167,0.42266666889190674,0.2553333342075348,0.46577778458595276,,,
shift,1,D,rank,48,3058.9,1.2,0.8762170356410715,0.9826666712760925,0.9829999804496765,0.8889999985694885,0.6449999809265137,0.47699999809265137,0.6703333258628845,,,
shift,1,D,rank,64,3687.9,1.0,0.9932581425255291,0.996666669845581,0.9959999918937683,0.9566666483879089,0.7553333044052124,0.5336666703224182,0.7485555410385132,,,
shift,1,D,rank_rand,8,1486.4,2.47,0.33532757229515,0.3646666705608368,0.35233333706855774,0.19733333587646484,0.11100000143051147,0.07233333587646484,0.12688889106114706,,,
shift,1,D,rank_rand,16,1800.9,2.04,0.4668152481767392,0.5773333311080933,0.6209999918937683,0.36533331871032715,0.18833333253860474,0.10599999874830246,0.21988888333241144,,,
shift,1,D,rank_rand,24,2115.4,1.74,0.5637741180632314,0.7373332977294922,0.7413333058357239,0.4963333308696747,0.2709999978542328,0.14299999177455902,0.3034444401661555,,,
shift,1,D,rank_rand,32,2429.9,1.51,0.6253843805070813,0.8133333325386047,0.8069999814033508,0.5523333549499512,0.2996666729450226,0.19033333659172058,0.34744445482889813,,,
shift,1,D,rank_rand,48,3058.9,1.2,0.6994060563095216,0.8973333239555359,0.9049999713897705,0.653333306312561,0.343999981880188,0.18533332645893097,0.3942222048838933,,,
shift,1,D,rank_rand,64,3687.9,1.0,0.7351148730103475,0.9306666851043701,0.940666675567627,0.7590000033378601,0.44333332777023315,0.25733333826065063,0.486555556456248,,,
shift,1,D,rank_rand_retrain,8,1486.4,2.47,0.33532757229515,0.25466665625572205,0.2666666507720947,0.11566666513681412,0.053999997675418854,0.038333334028720856,0.06933333228031795,,,
shift,1,D,rank_rand_retrain,16,1800.9,2.04,0.4668152481767392,0.6273333430290222,0.668999969959259,0.43799999356269836,0.23733332753181458,0.1133333295583725,0.2628888835509618,,,
shift,1,D,rank_rand_retrain,24,2115.4,1.74,0.5637741180632314,0.8320000171661377,0.8326666355133057,0.5616666674613953,0.2653333246707916,0.10400000214576721,0.3103333314259847,,,
shift,1,D,rank_rand_retrain,32,2429.9,1.51,0.6253843805070813,0.8833333253860474,0.8853332996368408,0.6346666812896729,0.34299999475479126,0.19333332777023315,0.3903333346048991,,,
shift,1,D,rank_rand_retrain,48,3058.9,1.2,0.6994060563095216,0.9333333373069763,0.9393333196640015,0.7253333330154419,0.38733333349227905,0.20499999821186066,0.43922222157319385,,,
shift,1,D,rank_rand_retrain,64,3687.9,1.0,0.7351148730103475,0.9486666321754456,0.9543333053588867,0.8029999732971191,0.45499998331069946,0.24899999797344208,0.5023333181937536,,,
shift,1,P,keep_frac,0.05,183.6,20.0,0.8837304467741331,0.9946666359901428,0.987666666507721,0.9113333225250244,0.6209999918937683,0.3479999899864197,0.6267777681350708,,,
shift,1,P,keep_frac,0.1,367.2,10.0,0.9367523769060156,0.9973333477973938,0.9916666746139526,0.9239999651908875,0.6506666541099548,0.40566664934158325,0.6601110895474752,,,
shift,1,P,keep_frac,0.2,734.4,5.0,0.9678130300129042,0.996666669845581,0.9946666359901428,0.9366666674613953,0.7036666870117188,0.46933332085609436,0.7032222251097361,,,
shift,1,P,keep_frac,0.3,1101.6,3.33,0.9779564907519459,0.996666669845581,0.9943333268165588,0.9433333277702332,0.7239999771118164,0.5063333511352539,0.7245555520057678,,,
shift,1,P,keep_frac,0.5,1835.9,2.0,0.986600811311407,0.996666669845581,0.9953333139419556,0.9523333311080933,0.7413333058357239,0.5216666460037231,0.7384444276491801,,,
shift,1,P,keep_frac,0.7,2570.3,1.43,0.9902755168008374,0.996666669845581,0.9950000047683716,0.9543333053588867,0.7506666779518127,0.5220000147819519,0.7423333326975504,,,
shift,1,P,keep_frac,1.0,3671.9,1.0,0.9932579613387403,0.996666669845581,0.9959999918937683,0.9566666483879089,0.7553333044052124,0.5336666703224182,0.7485555410385132,,,
shift,1,Q,bits,2,229.5,16.0,0.9924851552785117,0.996666669845581,0.996666669845581,0.9609999656677246,0.7586666345596313,0.5333333015441895,0.7509999672571818,,,
shift,1,Q,bits,3,344.2,10.67,0.9932377828980173,0.9973333477973938,0.9959999918937683,0.956333339214325,0.7546666860580444,0.5413333177566528,0.7507777810096741,,,
shift,1,Q,bits,4,459.0,8.0,0.9932945293447306,0.996666669845581,0.9963333010673523,0.9556666612625122,0.7546666860580444,0.531000018119812,0.7471111218134562,,,
shift,1,Q,bits,6,688.5,5.33,0.9932577675757748,0.996666669845581,0.9963333010673523,0.956333339214325,0.7549999952316284,0.5349999666213989,0.7487777670224508,,,
shift,1,Q,bits,8,918.0,4.0,0.9932632107511914,0.996666669845581,0.9959999918937683,0.9559999704360962,0.753000020980835,0.534333348274231,0.7477777798970541,,,
shift,2,none,baseline,fp32,3671.9,1.0,0.9933941553539579,0.9973333477973938,0.9979999661445618,0.9523333311080933,0.7300000190734863,0.47866666316986084,0.7203333377838135,,,
shift,2,D,rank,8,1486.4,2.47,0.38348149207454696,0.33666667342185974,0.3113333284854889,0.24966666102409363,0.17266666889190674,0.1289999932050705,0.18377777437369028,,,
shift,2,D,rank,16,1800.9,2.04,0.5196513785756932,0.5413333177566528,0.5553333163261414,0.35499998927116394,0.21466666460037231,0.14533333480358124,0.2383333295583725,,,
shift,2,D,rank,24,2115.4,1.74,0.6423580365265048,0.7413333058357239,0.7483333349227905,0.5376666784286499,0.3400000035762787,0.23000000417232513,0.3692222287257512,,,
shift,2,D,rank,32,2429.9,1.51,0.7224278148770121,0.8799999952316284,0.8799999952316284,0.6886666417121887,0.4436666667461395,0.27399998903274536,0.46877776583035785,,,
shift,2,D,rank,48,3058.9,1.2,0.8691864488552791,0.9800000190734863,0.9766666293144226,0.8833333253860474,0.6166666746139526,0.3709999918937683,0.6236666639645895,,,
shift,2,D,rank,64,3687.9,1.0,0.9933940748528239,0.9973333477973938,0.9979999661445618,0.9523333311080933,0.7300000190734863,0.47866666316986084,0.7203333377838135,,,
shift,2,D,rank_rand,8,1486.4,2.47,0.33753709876818844,0.34599998593330383,0.3596666753292084,0.20600000023841858,0.11933333426713943,0.08633333444595337,0.13722222298383713,,,
shift,2,D,rank_rand,16,1800.9,2.04,0.4786155854428606,0.6179999709129333,0.6133333444595337,0.3136666715145111,0.12733332812786102,0.08799999952316284,0.17633333305517832,,,
shift,2,D,rank_rand,24,2115.4,1.74,0.5503149327913451,0.7286666631698608,0.7319999933242798,0.4443333148956299,0.22699999809265137,0.1483333259820938,0.273222212990125,,,
shift,2,D,rank_rand,32,2429.9,1.51,0.616690642049685,0.8246666789054871,0.8326666355133057,0.5889999866485596,0.37700000405311584,0.27433332800865173,0.41344443957010907,,,
shift,2,D,rank_rand,48,3058.9,1.2,0.6709374756085473,0.8893333077430725,0.8986666798591614,0.7080000042915344,0.49566665291786194,0.37033334374427795,0.5246666669845581,,,
shift,2,D,rank_rand,64,3687.9,1.0,0.7248953990375973,0.9359999895095825,0.9353333115577698,0.8029999732971191,0.6016666889190674,0.46566665172576904,0.6234444379806519,,,
shift,2,D,rank_rand_retrain,8,1486.4,2.47,0.33753709876818844,0.20333333313465118,0.2016666680574417,0.14633333683013916,0.08266666531562805,0.06533332914113998,0.09811111042896907,,,
shift,2,D,rank_rand_retrain,16,1800.9,2.04,0.4786155854428606,0.6653333306312561,0.668666660785675,0.39633333683013916,0.19300000369548798,0.1289999932050705,0.2394444445768992,,,
shift,2,D,rank_rand_retrain,24,2115.4,1.74,0.5503149327913451,0.8166666626930237,0.8263333439826965,0.5463333129882812,0.3163333237171173,0.20133332908153534,0.3546666552623113,,,
shift,2,D,rank_rand_retrain,32,2429.9,1.51,0.616690642049685,0.8853332996368408,0.8939999938011169,0.668666660785675,0.42100000381469727,0.2980000078678131,0.46255555748939514,,,
shift,2,D,rank_rand_retrain,48,3058.9,1.2,0.6709374756085473,0.9266666769981384,0.9279999732971191,0.762333333492279,0.5320000052452087,0.3876666724681854,0.5606666704018911,,,
shift,2,D,rank_rand_retrain,64,3687.9,1.0,0.7248953990375973,0.9506666660308838,0.9506666660308838,0.824999988079071,0.6266666650772095,0.49133333563804626,0.6476666629314423,,,
