encoding,dim,seed,val_acc,id_acc,nmi,ari,hungarian_acc,auroc,geom_fid
proj,512,2,0.9671428203582764,0.9764285683631897,0.9254226944776187,0.930128476367864,0.968,0.9690766666666667,0.8985989145058703
proj,1024,2,0.9785714149475098,0.9785714149475098,0.9513860136592377,0.9559647436285271,0.98,0.9801766666666668,0.9438856548086237
proj,2048,2,0.9814285635948181,0.9878571033477783,0.9589666390363704,0.9632579792206061,0.9833333333333333,0.9825609523809524,0.9713254757078104
proj,4096,2,0.9814285635948181,0.9857142567634583,0.9616347464962722,0.9661583798170079,0.9846666666666667,0.9854659523809524,0.9851582502866125
proj,10000,2,0.9785714149475098,0.9885714054107666,0.9568198108865651,0.961739348164814,0.9826666666666667,0.9857557142857142,0.9936131331864169
id,64,0,0.15714286267757416,0.1850000023841858,0.04994326129587877,0.020719169571402365,0.18,0.5102790476190476,0.12698990403428081
id,128,0,0.3928571343421936,0.36642855405807495,0.1449244829450181,0.08827124667677394,0.2966666666666667,0.5745442857142857,0.17650134340489443
id,256,0,0.5628571510314941,0.5721428394317627,0.21346891168354934,0.14902349147509383,0.402,0.5855983333333333,0.2627185955242225
id,512,0,0.7342857122421265,0.7278571128845215,0.3802934897955252,0.29925361152448376,0.5293333333333333,0.6483704761904762,0.31485214758940894
id,1024,0,0.8614285588264465,0.8535714149475098,0.7549736277944687,0.7477720051428963,0.8766666666666667,0.6966316666666668,0.3676081954587785
id,2048,0,0.927142858505249,0.9149999618530273,0.8846509292103546,0.889502975722072,0.9486666666666667,0.7501819047619048,0.4419419228495507
id,4096,0,0.9528571367263794,0.9407142996788025,0.9054281011824494,0.9106924963809834,0.9586666666666667,0.7564633333333333,0.47096972895731637
id,10000,0,0.9599999785423279,0.956428587436676,0.9263327296179543,0.9291210109778297,0.9673333333333334,0.7625578571428572,0.4978057028846494
id,64,1,0.1599999964237213,0.15071427822113037,0.0546944517912183,0.020828662689000334,0.184,0.5308440476190476,0.09078194486859809
id,128,1,0.3985714316368103,0.41428571939468384,0.1680529609792445,0.10998612259545798,0.3293333333333333,0.5818445238095238,0.19052725155503517
id,256,1,0.6028571128845215,0.572857141494751,0.3418308304462237,0.27502114098981345,0.5006666666666667,0.6212769047619047,0.2635849811478877
id,512,1,0.7828571200370789,0.793571412563324,0.5537415135661542,0.5099301285303531,0.694,0.6628473809523809,0.3192712527957925
id,1024,1,0.895714282989502,0.8949999809265137,0.8242229360343326,0.8191247723797818,0.9126666666666666,0.7346480952380953,0.3900598993443357
id,2048,1,0.9442856907844543,0.9435713887214661,0.8892639492268111,0.8941843598490002,0.9506666666666667,0.7653761904761904,0.4392699174728035
id,4096,1,0.9642857313156128,0.9692857265472412,0.9285155245663373,0.9321071507708346,0.9686666666666667,0.7786197619047619,0.46915574975225216
id,10000,1,0.9757142663002014,0.9728571176528931,0.9566532561414579,0.9605704410486828,0.982,0.7949783333333333,0.5100358493947887
id,64,2,0.16857142746448517,0.17142857611179352,0.08001032879653451,0.038875977656554914,0.22133333333333333,0.5126319047619048,0.12592059622670207
id,128,2,0.427142858505249,0.4392856955528259,0.14305510401419347,0.0833500371697526,0.30733333333333335,0.5371645238095238,0.20857607967166955
id,256,2,0.5742856860160828,0.587142825126648,0.2580611613022251,0.19277480869356814,0.436,0.5863907142857142,0.2415154619923175
id,512,2,0.8242856860160828,0.831428587436676,0.6063589476555559,0.5840804442739753,0.7813333333333333,0.6815869047619048,0.3370001293927511
id,1024,2,0.895714282989502,0.897857129573822,0.7518421961037105,0.720474425908213,0.818,0.6946578571428572,0.3806114194804554
id,2048,2,0.9457142949104309,0.9571428298950195,0.7757333371750256,0.7207108971940552,0.806,0.7309445238095238,0.4372916366660953
id,4096,2,0.9685714244842529,0.970714271068573,0.918914385444056,0.9271944802263715,0.9666666666666667,0.7542242857142858,0.46548888501538804
id,10000,2,0.9685714244842529,0.9800000190734863,0.9495229970366211,0.9546028577972409,0.9793333333333333,0.7784809523809524,0.49660640348904117
